"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Funcionalidad principal de Spotify Web","Busqueda de canciones/artistas","0","0","1","0","0"
"","Funcionalidad principal de Spotify Web","Login con credenciales inválidas","0","1","0","0","0"
