"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 17 23:17:08 UTC 2025","Mon Nov 17 23:17:27 UTC 2025","19263","","Funcionalidad principal de Spotify Web","","Busqueda de canciones/artistas","","Busqueda de canciones/artistas",""
"broken","Mon Nov 17 23:17:27 UTC 2025","Mon Nov 17 23:17:28 UTC 2025","1035","","Funcionalidad principal de Spotify Web","","Login con credenciales inválidas","","Login con credenciales inválidas",""
